WKT,Type_id,Type_road,SHAPE_Leng,Name
"LINESTRING (423482.8015 2932730.6837,423544.541799999773502 2932730.7235)",1,Metal,     61.74031282800,
"LINESTRING (423618.531899999827147 2932730.4579,423623.048999999649823 2932736.875399999321,423634.712500000372529 2932737.8473,423671.321600000374019 2932737.664699999616,423683.432199999690056 2932737.604299999774,423686.069799999706447 2932737.5885,423799.796900000423193 2932736.9086)",1,Metal,    184.63884301100,
"LINESTRING (423723.508399999700487 2932516.729199999943,423717.931300000287592 2932515.93239999935,423717.4709 2932448.5723)",1,Metal,     72.99540523410,
"LINESTRING (423634.712500000372529 2932737.8473,423639.341799999587238 2932754.7057,423637.87540000025183 2932763.992799999192,423643.985399999655783 2932758.3717,423653.028099999763072 2932747.6181,423671.321600000374019 2932737.664699999616)",1,Metal,     70.06322798980,
"LINESTRING (423695.468000000342727 2932792.1124,423688.2264 2932792.0997,423686.242700000293553 2932790.4879,423686.280600000172853 2932737.5784)",1,Metal,     62.70709124520,
"MULTILINESTRING ((423771.216400000266731 2932737.0795,423758.7966 2932763.68759999983),(423758.7966 2932763.68759999983,423743.326999999582767 2932784.2586,423743.343999999575317 2932800.273199999705,423743.266699999570847 2932821.71759999916,423743.83730182168074 2932822.923267982434481,423744.655718504684046 2932824.092088136821985,423745.664665089163464 2932825.101034721359611,423746.833485243667383 2932825.919451404362917,423748.126664959301706 2932826.522471008822322,423749.504911624710076 2932826.891771090216935,423750.926347912463825 2932827.016130650881678,423752.347784200217575 2932826.891771090216935,423753.726030865625944 2932826.522471008822322,423755.019210581260268 2932825.919451404362917,423756.188030735764187 2932825.101034721359611,423757.196977320243604 2932824.092088136821985,423758.015394003246911 2932822.923267982434481,423758.618413607997354 2932821.630088266916573,423758.653199999593198 2932821.5326),(423758.7966 2932763.68759999983,423758.652700000442564 2932800.277699999511,423743.373100000433624 2932800.268699999899),(423758.653199999593198 2932821.5326,423758.6579 2932799.881599999964),(423758.653199999593198 2932821.5326,423758.661999999545515 2932821.5074))",1,Metal,    186.12105860900,
"MULTILINESTRING ((423563.293399999849498 2932820.7717,423503.590900000184774 2932819.7243,423485.191499999724329 2932819.7484,423483.699193821521476 2932819.856106230989099,423480.809095941425767 2932820.704715535510331,423480.166600000113249 2932821.0249,423478.275048022158444 2932822.333239106461406,423477.072499999776483 2932823.559699999169,423476.302725870511495 2932824.60941127082333,423475.448900000192225 2932826.231699999422,423472.168600000441074 2932834.039,423472.8668 2932933.543,423570.628399999812245 2932932.857,423574.465699999593198 2932930.4008,423575.212500000372529 2932929.9228,423575.076999999582767 2932864.738299999386,423560.849399999715388 2932850.4484,423565.375699999742 2932843.35869999975,423563.293399999849498 2932820.7717),(423579.096400000154972 2932820.7517,423563.293399999849498 2932820.7717))",1,Metal,    433.93943773200,
"LINESTRING (423560.849399999715388 2932850.4484,423514.065000000409782 2932898.6293)",1,Metal,     67.15786780500,
"LINESTRING (423492.035099999979 2932833.349099999294,423510.7336 2932832.7299,423532.2801 2932834.7112,423560.849399999715388 2932850.4484)",1,Metal,     72.96308639400,
"LINESTRING (423575.212500000372529 2932929.9228,423575.0093 2932951.17699999921)",1,Metal,     21.25517131930,
"LINESTRING (423492.035099999979 2932833.349099999294,423472.168600000441074 2932834.039)",1,Metal,     19.87847540040,
"LINESTRING (423565.375699999742 2932843.35869999975,423573.9227 2932843.308599999174)",1,Metal,      8.54714683473,
"LINESTRING (423359.463700000196695 2932787.2386,423357.808899999596179 2932867.54099999927,423357.543600000441074 2932880.41499999911,423357.401399999856949 2932887.3154,423357.39962394622853 2932887.487786504905671,423357.526736532163341 2932888.940690010320395,423357.904212038323749 2932890.349447777960449,423358.520581062475685 2932891.671255415771157,423359.35329999961 2932892.8614,423359.759200000204146 2932893.345799999312,423360.115818552032579 2932893.702485505957156,423360.528541407198645 2932893.991477160714567,423360.985176949005108 2932894.204409810714424,423361.471850537520368 2932894.334813605528325,423361.973774842044804 2932894.378726292401552,423362.407499999739 2932894.346,423426.937699999660254 2932884.5512,423429.411999999545515 2932881.7858,423429.483726837963331 2932881.703022562898695,423429.828867239644751 2932881.210110986605287,423430.083170986035839 2932880.664754842408001,423430.238911186519545 2932880.083524501416832,423430.291299999691546 2932879.503699999303,423430.816899999976 2932787.115599999204)",1,Metal,    273.56560103600,
"LINESTRING (422994.688900000415742 2932149.094599999487,423005.352099999785423 2932149.093399999663)",2,Cement,     10.66320006690,
"LINESTRING (422994.540400000289083 2932104.975299999118,423008.575799999758601 2932105.0789)",2,Cement,     14.03578234750,
"LINESTRING (423181.135099999606609 2932309.9495,423177.529400000348687 2932307.873299999163,423167.7752 2932277.132799999788,423163.364699999801815 2932263.23299999908,423149.449099999852479 2932238.411499999464,423140.486999999731779 2932132.844599999487)",2,Cement,    185.39718292200,
"LINESTRING (423587.649899999611 2933288.989,423589.439000000245869 2933150.2925)",2,Cement,    138.70803866700,
"LINESTRING (423413.322599999606609 2933072.700899999589,423413.422199999914 2933103.9572,423460.194799999706447 2933150.69099999964,423589.439000000245869 2933150.2925,423631.716099999845028 2933113.3463,423631.716099999845028 2933075.5358)",2,Cement,    320.57680217300,
"LINESTRING (423514.065000000409782 2932898.6293,423489.756099999882281 2932833.4282)",3,Brick,     69.58524312200,
"LINESTRING (423974.019600000232458 2933180.2171,424064.116299999878 2933180.2145)",2,Cement,     90.09670003720,
"LINESTRING (423974.762699999846518 2933101.4491,424064.486700000241399 2933101.691299999133)",2,Cement,     89.72432689580,
"LINESTRING (423973.028800000436604 2933003.8892,424064.948099999688566 2933003.88499999978)",2,Cement,     91.91930009520,
"LINESTRING (423971.7028 2932925.964199999347,424065.315999999642372 2932925.879899999127)",2,Cement,     93.61323795620,
"LINESTRING (423974.204699999652803 2932781.357699999586,424068.186599999666214 2932781.350199999288)",2,Cement,     93.98190029930,
"LINESTRING (423974.555499999783933 2932703.357599999756,424068.072499999776483 2932703.186499999836)",2,Cement,     93.51715652330,
"LINESTRING (423969.6617 2932563.6434,423969.736499999649823 2932609.05719999969,423969.736499999649823 2932619.5603,423969.821657981257886 2932620.533668522257358,423970.074544443690684 2932621.477453648578376,423970.487475559930317 2932622.362987285014242,423971.047904626873787 2932623.163362939842045,423971.73880329093663 2932623.854261604137719,423972.539178945764434 2932624.414690671022981,423972.569199999794364 2932624.4319,423973.196710654476192 2932624.738944132812321,423973.495400000363588 2932624.8528,423975.342299999669194 2932625.165699999779,424068.165900000371039 2932625.158299999312)",2,Cement,    157.54588988000,
"LINESTRING (423910.028199999593198 2932599.294399999082,423957.280299999751151 2932609.05719999969,423969.736499999649823 2932609.05719999969)",2,Cement,     60.70631107000,
"LINESTRING (422613.785000000149012 2932632.6576,422679.248399999924 2932632.6522)",2,Cement,     65.46340022250,
"LINESTRING (422615.294200000353158 2932694.576799999923,422679.438400000333786 2932694.537799999118)",2,Cement,     64.14421185610,
"LINESTRING (422679.830299999564886 2932822.15499999933,422810.888799999840558 2932822.15509999916,422810.7171 2932748.272199999541,422915.75650000013411 2932748.0281,422917.467955751926638 2932747.922580959275365,422919.712399999611 2932747.46759999916,422920.8567235104274 2932747.087323961779475,422923.947112647758331 2932745.465362621005625,422926.559539937530644 2932743.15095399925485,422927.1628 2932742.423499999568,422928.260859500325751 2932740.789342943113297,422929.327384923410136 2932738.5021717925556,422929.980544326535892 2932736.064547714777291,422930.200491791707464 2932733.550536683760583,422929.980544326535892 2932731.036525652743876,422929.827100000344217 2932730.2837,422914.123700000345707 2932662.484799999744,422914.075717650237493 2932662.249384745024145,422914.006927080859896 2932661.463104939088225,422914.075717650237493 2932660.676825133152306,422914.279999191814568 2932659.914436040911824,422914.613564714207314 2932659.199102469719946,422915.066278997866903 2932658.552559467963874,422915.624386548413895 2932657.994451917242259,422916.270929550286382 2932657.541737633757293,422916.986263121536467 2932657.20817211130634,422917.748652213544119 2932657.003890569787472,422918.534900000318885 2932656.9351,422961.751699999906 2932656.9351,422962.55262538214447 2932656.909931458998471,422965.693177002249286 2932656.310839196667075,422968.586074231076054 2932654.949545091949403,422968.704300000332296 2932654.8736,422970.496299999766052 2932653.4656,422971.049646009516437 2932652.911464818753302,422972.928915056341793 2932650.324872879311442,422974.105884152697399 2932647.352188274264336,422974.506599999964 2932644.1804,422974.506099999882281 2932644.08799999952,422974.180200000293553 2932599.087799999863)",2,Cement,    522.06681650600,
"LINESTRING (422810.7171 2932748.272199999541,422679.604399999603629 2932748.5964)",2,Cement,    131.11310082200,
"LINESTRING (424409.070199999958 2932536.706399999559,424395.695199999958 2932536.6958,424393.034400000236928 2932536.7167,424392.956580214027781 2932536.71700620977208,424391.239428776607383 2932536.566774925682694,424389.574452116736211 2932536.120645774062723,424388.012239707633853 2932535.392174164298922,424386.600258582853712 2932534.403494336642325,424385.38141107436968 2932533.184646828100085,424384.392731247004122 2932531.77266570366919,424383.664259636949282 2932530.210453294217587,424383.218130485503934 2932528.545476634521037,424383.067900000140071 2932526.832299999893,424383.043100000359118 2932464.0512)",2,Cement,     94.42394077720,
"LINESTRING (423421.269000000320375 2933282.5895,423420.9693 2933245.218599999323)",1,Metal,     37.37210172040,
"LINESTRING (423335.058199999853969 2933229.1162,423345.028300000354648 2933229.0326)",1,Metal,      9.97045049032,
"LINESTRING (422699.840200000442564 2932828.253,422699.972699999809265 2932815.924499999732)",2,Cement,     12.32921199910,
"LINESTRING (422717.0735 2932827.9879,422717.0735 2932816.189699999988)",2,Cement,     11.79820000010,
